year,E_mean,E_sd,E_q025,E_q975,E_q50
1970,0.0050169515138054534,0.031074711473888048,-0.05747428485,0.06747662094999998,0.00477461485
1971,0.02382267857864455,0.033863734958665,-0.04206318245000001,0.09427501189999997,0.022795407
1972,-2.2138260757686897e-5,0.0337197208892296,-0.067067644425,0.06782877697499998,4.5049848500000004e-4
1973,0.0289201459556891,0.03429867003922762,-0.037673613625,0.10001736449999994,0.028397560500000002
1974,0.114974502177719,0.04133633257155221,0.043594155925,0.20628654399999996,0.111100225
1975,0.16679482221025,0.04850965770763824,0.0857657857,0.2741085469999999,0.16183467
1976,0.1693926166808,0.04874932237809575,0.08797101385,0.27916370474999985,0.164432915
1977,0.14797967916534,0.045480946074500275,0.07139900052499999,0.24780210249999995,0.14332041
1978,0.15431914588626,0.046253876057112196,0.07751498150000001,0.25637136524999987,0.149674115
1979,0.1958340046956,0.05259187233177048,0.110312389,0.3127074767499999,0.189982235
1980,0.230684188085428,0.058599603472515756,0.135495861,0.362027912,0.22419467999999998
1981,0.2233505212005,0.05708586477682553,0.13147446075,0.3538613409999999,0.21753723
1982,0.19733948718076,0.052759266968898696,0.111365954,0.31589492499999994,0.19195476
1983,0.15323449814839,0.046027258066228705,0.077043357775,0.2546060395,0.148585565
1984,0.13554274799529,0.043676931820943336,0.060821849125,0.23223675849999997,0.13144905499999998
1985,0.1554836632149,0.04617318560810918,0.079276101975,0.257961215,0.15064663
1986,0.1810558174268,0.04983486873777898,0.098723767275,0.2931508195,0.176009685
1987,0.18903404165684,0.05133577518493518,0.10552295025,0.304142453,0.183523585
1988,0.19826845498106,0.05281534682979664,0.11205768699999999,0.3177732532499998,0.19226801
1989,0.20453680967183,0.05356413410844586,0.1175567055,0.3265914255,0.19825834
1990,0.2072427181954,0.054190787777078274,0.118923046,0.32957633224999994,0.201161205
1991,0.20962425353616,0.0546474606412576,0.12133448749999999,0.33336939050000003,0.20356141500000002
1992,0.1849821779913,0.05088561876473403,0.10153349625000001,0.3000218452499999,0.17989312
1993,0.16540002711371,0.048036877202334016,0.08570078005,0.272050612,0.16059949
1994,0.15395171318063,0.04639628080318096,0.07637915149999999,0.25725168425,0.1496596
1995,0.14295171827941,0.045315073775879455,0.066747116775,0.23963119474999994,0.13880871
1996,0.124310172115065,0.04324826164934644,0.050567011425,0.2166306712499999,0.12053827
1997,0.104184729943266,0.041125192587439366,0.032748670225000005,0.19102370149999998,0.10111162
1998,0.06667497338815939,0.037746136309175116,-0.0020476285774999993,0.14610143824999997,0.0649290025
1999,0.022522349976844425,0.035243145843371904,-0.045575630750000005,0.09333092969999997,0.022520877
2000,0.002127287317900979,0.03506093458641684,-0.06792871895,0.07031107234999996,0.0025440663
2001,0.003937930029550191,0.03573402299085602,-0.06623130512499999,0.0722913036,0.00474074805
2002,3.0915463925173517e-5,0.0361403157977273,-0.07061261625,0.06860239307499998,8.790367250000001e-4
2003,-0.007409783433730968,0.0361390974742798,-0.07895266845,0.05999976769999998,-0.0061661623500000005
2004,-0.02101453115062937,0.036843021430731815,-0.09655173519999999,0.04640080022499998,-0.0192344105
2005,-0.034517253334203704,0.03698102732894982,-0.111686124,0.031402881849999974,-0.0325939565
2006,-0.051115584084844505,0.037833555399891236,-0.132078191,0.015011184699999973,-0.0484182285
2007,-0.06459351334087295,0.0386145398496429,-0.14770718675,0.0010527210649999789,-0.0616485225
2008,-0.07711586585186721,0.04014455345495661,-0.164108661,-0.010092181945000079,-0.07338980649999999
2009,-0.10651442038547,0.0420037852060146,-0.200070926,-0.037300503500000005,-0.10223013
2010,-0.12448077482592,0.04356586457405965,-0.22415362024999996,-0.054228690575000016,-0.11989097
2011,-0.13463561290621,0.04525476386662519,-0.23841057725,-0.061047829375,-0.12925372000000002
2012,-0.1436338250814,0.04644138121962179,-0.25017063399999995,-0.0688938572,-0.138004495
2013,-0.1707650814643,0.04953766615178015,-0.28587639550000005,-0.09208223837500003,-0.1647455
2014,-0.2040566741788,0.0538896793016001,-0.3319488305,-0.11918695325000003,-0.197048355
2015,-0.2218526039304,0.05632848450006317,-0.355049115,-0.13334697750000002,-0.214853915
2016,-0.2348784515857,0.05856756554803477,-0.37508044724999995,-0.1424029685,-0.22736826500000001
2017,-0.257438770149,0.062074400755439414,-0.40406057500000003,-0.159128809,-0.249523635
2018,-0.295374328221,0.06825116741447862,-0.45919113225,-0.188796095,-0.28664645
2019,-0.324758147444,0.07339260310742664,-0.5019476565,-0.21027580650000005,-0.31524492000000004
2020,-0.364852479296,0.08009960491918115,-0.5549114985,-0.239124091,-0.35427607
2021,-0.39821322981,0.08596124953388448,-0.6013893552499999,-0.2644659642500001,-0.387099345
2022,-0.371848889295,0.08161093203024203,-0.5659777100000001,-0.24391672375,-0.36129237999999997
2023,-0.401825844423,0.08668700664772938,-0.6079153180000001,-0.26618462500000006,-0.39038319499999996
