variable,mean,sd
unemployment_rate,6.127314814814815,1.6180199359950511
gini,0.44553703703703706,0.0324983093684875
geographic_mobility,15.083703703703705,3.1309431313398424
elite_polarization,0.7194541253649613,0.10910977880198143
affective_polarization,35.78888888888889,10.52378557806466
poverty_rate,12.97037037037037,1.3021940309338929
pct_births_unmarried,29.701851851851853,10.088897143025283
alcohol_per_capita,2.4130679245283018,0.18909767091026403
firearm_fss,0.5502272222222222,0.03629969070072847
overdose_rate,8.605555555555558,8.718759143725059
homeownership_rate,65.42731481481482,1.5458806225002197
voter_turnout_vep,48.870370370370374,6.783425405913746
trust_in_government,31.611111111111107,10.475788197781583
police_per_capita,2.0865384615384617,0.16640235451983118
incarceration_rate,332.68518518518516,149.40142507391286
