state,volume_tercile,mean_att,median_att,sd_att,n_agencies,pct_sig
CO,High,-0.9727024965122,-0.637830455220517,6.83647475731212,18,88.8888888888889
CO,Medium,1.36061004052232,0.339928789147876,12.2873662237212,17,88.2352941176471
CO,Low,-1.59805670307602,2.79434769773394,18.1448202607626,18,100
DE,High,-1.7037505513196,-0.232224147654558,3.73385630097256,6,50
DE,Medium,14.1015409784221,12.7718427131316,7.96595631361033,5,100
DE,Low,16.4613548216088,16.7100251839757,10.4132058831471,6,100
IL,Medium,3.27427065587678,-1.67893005680859,18.2592501609094,15,100
IL,High,-3.35013678386049,-0.244693100815274,14.8492674981105,17,94.1176470588235
IL,Low,2.8618390009566,8.85259964725772,22.2960988117967,20,100
IN,High,4.73215032078588,5.13126812008434,7.17402104768484,24,95.8333333333333
IN,Low,4.34524569463787,0.862773650346966,12.3405777466105,25,100
IN,Medium,-3.65435200346043,-3.32879960275086,13.858588447362,24,100
NV,High,6.36853290367348,6.36853290367348,12.851386681166,2,100
NV,Medium,-1.31578483781454,-1.31578483781454,8.59157076948852,2,100
NV,Low,10.6284116798857,10.3356403864063,0.946601974038226,3,100
OR,Medium,0.0840989453127515,5.66108964723783,17.484953011428,14,100
OR,High,6.53657579337628,6.46845617521038,10.6464596588426,14,100
OR,Low,-2.89105526548605,0.150213626590381,18.0079646205092,15,93.3333333333333
UT,Medium,-2.81840576219448,-1.6093220567639,10.3608061454191,20,95
UT,Low,-1.43357395952873,-0.770478238472429,13.5787902640057,24,91.6666666666667
UT,High,-4.85035259766117,-2.97042173201505,14.4907301326779,22,100
