state,k_lead,outcome,att_pp,se,p
IL,-12,,,,
OR,-12,,,,
UT,-12,Arrest clearance,-0.891601512325129,0.000965610187698861,2.61794735556271e-20
UT,-12,Exceptional clearance,0.375637952047752,0.00327590639722536,0.251518547209358
UT,-12,Any clearance,-0.515963560277377,0.00218836927656862,0.0183858907731129
DE,-12,Arrest clearance,-6.2009001611576,0.00605002291796499,1.19101448423422e-24
DE,-12,Exceptional clearance,4.92803924751097,0.00319787309577265,1.39421561655444e-53
DE,-12,Any clearance,-1.27286091364665,0.00592671750542925,0.0317403054677041
NV,-12,Arrest clearance,0.532436334256263,0.00676328981327927,0.431138696948862
NV,-12,Exceptional clearance,1.35623190955501,0.00253900258385628,9.21331945924528e-08
NV,-12,Any clearance,1.88866824381127,0.00700866840376945,0.00704392515355426
IN,-12,Arrest clearance,-0.642662388161767,0.00736576830032601,0.38293633151847
IN,-12,Exceptional clearance,1.50343120439417,0.00301399661014359,6.0955535795676e-07
IN,-12,Any clearance,0.860768816232394,0.00795437984568799,0.279193923734644
CO,-12,Arrest clearance,0.385958072998445,0.00782036997767419,0.621638731735706
CO,-12,Exceptional clearance,-0.531776922637761,0.00297041458247349,0.0734145677427285
CO,-12,Any clearance,-0.145818849639312,0.00850211089164592,0.863823558064913
IL,-9,Arrest clearance,-4.02990996906634,0.00452648483733403,5.43782687236753e-19
IL,-9,Exceptional clearance,0.815231646036266,0.00299109370691398,0.00641982881044117
IL,-9,Any clearance,-3.21467832303008,0.00591092385070754,5.37195914662538e-08
OR,-9,Arrest clearance,-2.23121790351008,0.00275638656544248,5.73959518515543e-16
OR,-9,Exceptional clearance,0.3971894829463,0.00180840817975026,0.0280669994361687
OR,-9,Any clearance,-1.83402842056377,0.00405653105622528,6.14975066828181e-06
UT,-9,Arrest clearance,-0.686966475874652,0.00369308539892893,0.0628653809466079
UT,-9,Exceptional clearance,-0.519321725858946,0.00248946113501219,0.0369712979377225
UT,-9,Any clearance,-1.2062882017336,0.00378895719509547,0.00145408409479027
DE,-9,Arrest clearance,0.565739519736467,0.00649990996132583,0.384092473116203
DE,-9,Exceptional clearance,1.8621623620276,0.00366324912574287,3.70810834140949e-07
DE,-9,Any clearance,2.42790188176406,0.00630563920109423,0.00011794144223156
NV,-9,Arrest clearance,-0.346582592348622,0.00613109997907119,0.571879145249337
NV,-9,Exceptional clearance,1.09593191800691,0.00239308922710828,4.65933255491897e-06
NV,-9,Any clearance,0.749349325658286,0.00626706037523559,0.231815572043631
IN,-9,Arrest clearance,0.286025293539291,0.00701855482361366,0.683620722578416
IN,-9,Exceptional clearance,1.07857679013853,0.00299973599218917,0.000323679106889425
IN,-9,Any clearance,1.36460208367782,0.00709860960928628,0.054561579194337
CO,-9,Arrest clearance,1.30661157700313,0.0078039495024208,0.0940725828752631
CO,-9,Exceptional clearance,-0.119077090027446,0.00315592239450087,0.705940929026102
CO,-9,Any clearance,1.18753448697568,0.0082565004461263,0.150348255342197
IL,-6,Arrest clearance,-3.13760559862325,0.00327874818890557,1.07400100863104e-21
IL,-6,Exceptional clearance,-1.77344466343555,0.00244873460727065,4.41170602413296e-13
IL,-6,Any clearance,-4.91105026205881,0.0034204250188493,9.49111273594764e-47
OR,-6,Arrest clearance,3.05246313004015,0.00327079764806633,1.03428802107885e-20
OR,-6,Exceptional clearance,-1.48504501331623,0.00212269415011955,2.63301091735938e-12
OR,-6,Any clearance,1.56741811672393,0.00389083987539639,5.61379883893132e-05
UT,-6,Arrest clearance,-1.05878594779356,0.00415356596958844,0.0108000993735941
UT,-6,Exceptional clearance,0.491778751021027,0.00230753569085508,0.0330738307888015
UT,-6,Any clearance,-0.567007196772532,0.0052414300190521,0.279350481949021
DE,-6,Arrest clearance,3.46485392453813,0.00658074793312648,1.40084874741062e-07
DE,-6,Exceptional clearance,-0.271704844116099,0.00340912017679688,0.425454496377615
DE,-6,Any clearance,3.19314908042203,0.0067275072333419,2.07061348163228e-06
NV,-6,Arrest clearance,0.285385743539368,0.00649904675300449,0.660575031171597
NV,-6,Exceptional clearance,0.842859005223479,0.00207451676592658,4.84632035920533e-05
NV,-6,Any clearance,1.12824474876285,0.00640401286760089,0.0781068526223159
IN,-6,Arrest clearance,1.45458084003154,0.00698801812519169,0.0373849104046009
IN,-6,Exceptional clearance,-0.240209349566545,0.00311274929828086,0.440295011734833
IN,-6,Any clearance,1.214371490465,0.00696933909453429,0.0814299842047471
CO,-6,Arrest clearance,1.63774175211414,0.00825523504404654,0.0472689242462158
CO,-6,Exceptional clearance,-0.178382127931668,0.00286429925701331,0.533430711826429
CO,-6,Any clearance,1.45935962418247,0.00827472351969301,0.0777933650155269
