state,outcome,att,att_pp,se,p
IL,arrest_rate,0.0194171414259826,1.94171414259826,0.00287231906638649,1.37904050082411e-11
IL,exc_rate,0.00420438211613945,0.420438211613945,0.00609486811058858,0.490305305702109
IL,clear_rate,0.0236215235421221,2.36215235421221,0.0071388276543115,0.000936699990666064
OR,arrest_rate,-0.0267985868897288,-2.67985868897288,0.00412407649570533,8.135050929301e-11
OR,exc_rate,0.0265204074271875,2.65204074271875,0.00593525697057355,7.88499699180388e-06
OR,clear_rate,-0.000278179462541182,-0.0278179462541182,0.00744182996185399,0.970181605800793
UT,arrest_rate,0.00930566149722776,0.930566149722776,0.00502743076998428,0.0641727826787688
UT,exc_rate,0.00426688436021724,0.426688436021724,0.0043428945769428,0.325854667085446
UT,clear_rate,0.013572545857445,1.3572545857445,0.00705635672213509,0.0544236219946932
DE,arrest_rate,0.0265880463047862,2.65880463047862,0.00491867912843278,6.46185940114821e-08
DE,exc_rate,-0.0474900543056529,-4.74900543056529,0.00632742778101519,6.12281677109286e-14
DE,clear_rate,-0.0209020080008667,-2.09020080008667,0.0073312406452879,0.00435699883764857
NV,arrest_rate,0.0113776584134941,1.13776584134941,0.00495165364419086,0.0215760651064419
NV,exc_rate,0.011073220151694,1.1073220151694,0.00312239465896052,0.000390552044528149
NV,clear_rate,0.022450878565188,2.2450878565188,0.00586233891614631,0.000128310315403739
IN,arrest_rate,0.012982421497985,1.2982421497985,0.00341551081341311,0.000144102250333862
IN,exc_rate,-0.0115213476950078,-1.15213476950078,0.00548925211372838,0.0358264166541067
IN,clear_rate,0.00146107380297718,0.146107380297718,0.00658301152663189,0.824355834670529
CO,arrest_rate,-0.0213843402880549,-2.13843402880549,0.00340194274256572,3.25917532342879e-10
CO,exc_rate,-0.0221447452252511,-2.21447452252511,0.00613585532397152,0.000307294014662762
CO,clear_rate,-0.0435290855133062,-4.35290855133062,0.00709776196997148,8.63509582797948e-10
