state,outcome,att_days,se,p
IL,mean_days,6.00556918041635,1.0674442539348,1.84308439884162e-08
IL,median_days,0.201824345864307,0.0993991868858843,0.0423115677160533
OR,mean_days,-1.70774159680169,0.997149335201526,0.0867817879038223
OR,median_days,-0.0475484146065056,0.0934318995082999,0.610815410556553
UT,mean_days,-3.41532250202725,0.858405011675204,6.92976974201833e-05
UT,median_days,-0.14585792300894,0.0987182300034757,0.139536942029984
DE,mean_days,-0.639906648398727,1.00399889137596,0.523891729310932
DE,median_days,1.30734937383237,0.50599829309921,0.00977458889603073
NV,mean_days,-1.62702135765059,0.577644201909017,0.0048527424645406
NV,median_days,-0.248270105260178,0.0719533900765998,0.000559695171563426
IN,mean_days,-1.38800308426742,0.721365350931156,0.0543378785724302
IN,median_days,0.22975807680762,0.104618146396913,0.0280805695952797
CO,mean_days,-7.63070412539716,0.800843101969509,1.59820617860693e-21
CO,median_days,-0.40942342451726,0.114906584737202,0.000366503749083468
