state,lag_months,att_pp,se,ci_lo_pp,ci_hi_pp
IL,0,2.36215235421221,0.0071388276543115,0.96294213396716,3.76136257445727
IL,1,1.75134863200034,0.00751987255603602,0.277453611017279,3.2252436529834
IL,2,0.783506047337465,0.00737800270118522,-0.662582482094837,2.22959457676977
IL,3,0.9179717179462,0.00624965046073452,-0.306959772357766,2.14290320825017
IL,4,1.19238589226895,0.00623294489573058,-0.0292713072942406,2.41404309183215
IL,6,1.59080509087494,0.00656579599339982,0.303909076168578,2.87770110558131
IL,9,1.02163019376967,0.0064757562416459,-0.247618029592931,2.29087841713226
IL,12,0.185783141637163,0.0061194282521225,-1.01362479577885,1.38519107905317
OR,0,-0.0278179462541182,0.00744182996185399,-1.4864166187775,1.43078072626926
OR,1,-0.518380352449969,0.0077109697806102,-2.02973042944957,0.992969724549631
OR,2,0.720351884310672,0.00741930208456945,-0.73383132426494,2.17453509288628
OR,3,1.71157778739336,0.00653567649452722,0.43058519446602,2.99257038032069
OR,4,0.410490267027349,0.0065890380308344,-0.880961187016194,1.70194172107089
OR,6,1.16417385416903,0.00700743725455762,-0.209283847724259,2.53763155606233
OR,9,-0.824310055309115,0.00691973503297263,-2.18057812177175,0.53195801115352
OR,12,-0.368740676158138,0.00656074554741083,-1.65464680345066,0.917165451134384
UT,0,1.3572545857445,0.00705635672213509,-0.0257913317939795,2.74030050328298
UT,1,0.538255274040551,0.0070505292645266,-0.843648461806662,1.92015900988776
UT,2,0.101350354713575,0.00738310598767548,-1.34573841887082,1.54843912829797
UT,3,-0.706541776919025,0.00761505722737778,-2.19909299348507,0.78600943964702
UT,4,-0.535187826018429,0.00744527294469638,-1.99446132317892,0.924085671142061
UT,6,-0.45034652064326,0.00718205813057118,-1.85802991423521,0.957336872948691
UT,9,0.307446970005898,0.00673077090391626,-1.01178412716169,1.62667806717349
UT,12,1.87401904147506,0.00657848195683634,0.584636577935139,3.16340150501498
DE,0,-2.09020080008667,0.0073312406452879,-3.5271239665631,-0.653277633610242
DE,1,-1.16159807268301,0.00724655940599249,-2.58192371625754,0.258727570891513
DE,2,-2.53081727443204,0.00713059871623623,-3.92841462281434,-1.13321992604974
DE,3,-2.52499159017865,0.0072048009232067,-3.93713257112716,-1.11285060923014
DE,4,-1.83017072495292,0.0071992416020579,-3.24122207895627,-0.41911937094957
DE,6,-6.10416133277602,0.00740598996996913,-7.55573536688997,-4.65258729866207
DE,9,-8.30967101750474,0.00714434673070683,-9.70996297672328,-6.9093790582862
DE,12,-9.9944260788863,0.00674161539673919,-11.3157826966472,-8.67306946112542
NV,0,2.2450878565188,0.00586233891614631,1.09606942895412,3.39410628408348
NV,1,0.906946065988079,0.00600441649138504,-0.269919566323388,2.08381169829955
NV,2,-0.417342461645504,0.00521165587028443,-1.43882701222125,0.604142088930245
NV,3,-0.866653861053404,0.0057098037661023,-1.98577539920945,0.252467677102646
NV,4,-0.897082463544486,0.00659365856348421,-2.18943954198739,0.395274614898419
IN,0,0.146107380297718,0.00658301152663189,-1.14416287892213,1.43637763951757
IN,1,-0.255914145281986,0.00696132765821027,-1.6203343662912,1.10850607572723
IN,2,-1.37879058313597,0.00668578132339213,-2.68920372252083,-0.0683774437511156
IN,3,-1.64694696859706,0.00589137939174024,-2.80165732937815,-0.492236607815975
IN,4,-1.81146772105662,0.00558417291030873,-2.90596561147713,-0.716969830636105
IN,6,-1.63777176933674,0.00508780015212748,-2.63498059915373,-0.640562939519757
IN,9,-1.93835789358496,0.00582885329553357,-3.08081313950954,-0.795902647660377
IN,12,-4.15262892205997,0.00645377912977359,-5.4175696314956,-2.88768821262435
CO,0,-4.35290855133062,0.00709776196997148,-5.74406989744503,-2.96174720521621
CO,1,-4.65435713689897,0.0071135434631059,-6.04861165566773,-3.26010261813022
CO,2,-4.62279954635937,0.00657368481604233,-5.91124177030366,-3.33435732241507
CO,3,-4.60549231120114,0.00636788513345438,-5.8535977973582,-3.35738682504409
CO,4,-4.62177971159466,0.00621701857457895,-5.84031535221214,-3.40324407097719
CO,6,-4.32422162952664,0.00612020287114922,-5.52378139227188,-3.12466186678139
CO,9,-3.9022991463343,0.0067323326711067,-5.22183634987121,-2.58276194279739
CO,12,-3.99865121332304,0.0088426817372655,-5.73181683382708,-2.265485592819
